time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937517.01956344,0.04172335,50305,0.00080263,0.00000000,0,0.00000109,71686,71781,268,0.00752108
1708937517.11954331,0.04047554,51569,0.00071644,0.00000000,0,0.00000074,71781,71855,245,0.00430462
1708937517.21950412,0.03435020,49961,0.00074019,0.00000000,0,0.00000081,71855,71902,278,0.00634968
1708937517.31956244,0.04182428,52383,0.00082101,0.00000000,0,0.00000074,71902,71925,257,0.00558459
1708937517.41940618,0.05061060,52806,0.00094261,0.00000000,0,0.00000073,71925,71915,230,0.00554146
1708937517.51955938,0.04554132,52669,0.00107559,0.00000000,0,0.00000078,71915,71724,252,0.00372394
1708937517.61960506,0.04483109,52848,0.00145454,0.00000000,0,0.00000068,71724,71420,269,0.00665792
1708937517.71958280,0.04416104,52407,0.00123893,0.00000000,0,0.00000078,71420,71557,265,0.00889099
1708937517.81943583,0.04330131,48833,0.00090060,0.00000000,0,0.00000082,71557,71628,289,0.00972844
1708937517.91951203,0.04560174,52899,0.00076230,0.00000000,0,0.00000083,71628,71741,295,0.00390638
1708937518.01952720,0.03635653,52253,0.00079756,0.00000000,0,0.00000175,71741,71868,239,0.00355855
1708937518.11952496,0.05337851,48550,0.00155428,0.00000000,0,0.00000076,71868,72005,275,0.00565817
1708937518.21950793,0.03870502,50476,0.00076443,0.00000000,0,0.00000105,72005,72122,259,0.00952886
1708937518.31957054,0.04938606,53572,0.00058950,0.00000000,0,0.00000092,72122,72219,262,0.00842864
1708937518.41942453,0.04536100,49215,0.00133396,0.00000000,0,0.00000089,72219,72379,260,0.00262368
1708937518.51958990,0.06532055,50828,0.00109371,0.00000000,0,0.00000133,72379,72514,414,0.00874635
1708937518.61950970,0.04739409,53364,0.00216436,0.00000000,0,0.00000099,72514,72683,361,0.00808939
1708937518.71949863,0.05251463,48281,0.00239576,0.00000000,0,0.00000092,72683,72771,320,0.00469632
1708937518.81949306,0.04036622,52417,0.00090202,0.00000000,0,0.00000122,72771,72871,274,0.00878092
1708937518.91950488,0.03626066,54850,0.00110642,0.00000000,0,0.00000072,72871,72994,318,0.00481383
1708937519.01946187,0.04080250,49184,0.00071511,0.00000000,0,0.00000068,72994,73030,265,0.00546636
1708937519.11950588,0.04470780,54310,0.00139269,0.00000000,0,0.00000121,73030,73091,317,0.00396568
1708937519.21945643,0.05568322,53526,0.00204692,0.00000000,0,0.00000088,73091,72351,412,0.00432689
1708937519.31946087,0.04487055,47959,0.00167076,0.00000000,0,0.00000134,72351,72502,274,0.00571986
1708937519.41951776,0.04139003,52661,0.00062461,0.00000000,0,0.00000076,72502,72637,234,0.00507120
1708937519.51951599,0.04198870,50547,0.00062863,0.00000000,0,0.00000149,72637,72700,201,0.00388478
1708937519.61949015,0.03595077,48880,0.00127445,0.00000000,0,0.00000094,72700,72783,216,0.00475540
1708937519.71935415,0.04207286,54107,0.00079073,0.00000000,0,0.00000067,72783,72888,239,0.00358408
1708937519.81957960,0.03240014,54112,0.00061841,0.00000000,0,0.00000074,72888,72923,219,0.00652647
1708937519.91941857,0.03792807,50523,0.00082255,0.00000000,0,0.00000073,72923,72977,218,0.00439841
1708937520.01954842,0.04292635,53808,0.00085493,0.00000000,0,0.00000071,72977,73052,229,0.00466695
1708937520.11957860,0.03941986,52764,0.00074291,0.00000000,0,0.00000073,73052,73133,229,0.00506519
1708937520.21955585,0.04101795,46572,0.00145633,0.00000000,0,0.00000068,73133,73224,224,0.00625824
1708937520.31676030,0.03884770,50843,0.00083551,0.00000000,0,0.00000074,73224,73332,245,0.00355033
1708937520.41764426,0.03975266,53483,0.00067907,0.00000000,0,0.00000136,73332,73407,230,0.00568598
1708937520.51945853,0.03742866,46155,0.00073394,0.00000000,0,0.00000141,73407,73396,224,0.00491414
1708937520.62044406,0.04323395,54722,0.00086332,0.00000000,0,0.00000085,73396,73468,199,0.00512559
1708937520.71943498,0.04645331,54193,0.00089078,0.00000000,0,0.00000073,73468,73523,173,0.00507393
1708937520.81960130,0.04089732,54175,0.00059755,0.00000000,0,0.00000071,73523,73574,182,0.00900385
